district,month,hour,day_of_week,risk_score,risk_level
14,7,8,0,0.3571,Low
12,5,9,5,0.4571,Medium
17,8,3,1,0.5958,Medium
14,2,5,1,0.1757,Low
6,6,18,5,0.9091,High
19,5,17,6,0.4813,Medium
24,10,11,4,0.2798,Low
6,2,17,6,0.8165,High
18,11,20,0,0.5098,Medium
24,7,2,6,0.7223,High
5,4,17,6,0.6057,Medium
24,6,1,1,0.6243,Medium
24,5,18,1,0.4146,Medium
6,4,16,6,0.6647,High
2,2,10,5,0.641,Medium
8,7,12,0,0.5411,Medium
15,5,23,1,0.8337,High
15,3,8,2,0.7647,High
11,6,16,2,0.3351,Low
22,8,12,6,0.5512,Medium
22,11,20,2,0.4552,Medium
24,10,23,0,0.5796,Medium
1,10,12,2,0.575,Medium
18,12,1,1,0.5198,Medium
12,2,16,6,0.3424,Low
12,11,4,2,0.2894,Low
25,10,13,5,0.4587,Medium
11,12,16,4,0.2307,Low
8,4,5,5,0.5087,Medium
7,3,8,0,0.3722,Low
23,7,23,3,0.7338,High
21,10,11,2,0.5732,Medium
2,8,21,4,0.8319,High
11,8,19,2,0.4075,Medium
22,4,22,3,0.5501,Medium
10,10,11,3,0.7864,High
3,2,21,4,0.5032,Medium
20,6,6,6,0.3944,Low
10,3,17,5,0.8883,High
18,8,22,3,0.5904,Medium
14,3,19,6,0.4735,Medium
18,2,4,6,0.289,Low
24,9,10,2,0.3152,Low
8,9,13,6,0.4256,Medium
10,9,6,4,0.5152,Medium
22,3,10,4,0.1987,Low
13,2,1,1,0.5514,Medium
21,4,16,0,0.5372,Medium
8,2,14,3,0.3223,Low
4,8,20,1,0.6812,High
4,10,0,2,0.7159,High
5,1,12,0,0.3092,Low
1,2,5,5,0.6852,High
17,6,1,2,0.4919,Medium
2,9,1,1,0.9486,High
8,10,19,1,0.6497,Medium
7,12,9,1,0.3265,Low
15,5,17,0,0.835,High
25,5,11,0,0.3551,Low
5,3,18,5,0.5867,Medium
2,8,12,5,0.6785,High
7,12,7,1,0.2206,Low
8,6,22,3,0.7512,High
7,10,15,5,0.3645,Low
7,12,10,5,0.263,Low
14,2,22,4,0.4812,Medium
21,12,19,3,0.6053,Medium
18,12,3,1,0.5044,Medium
6,5,16,3,0.6042,Medium
4,4,7,1,0.485,Medium
10,11,0,1,0.8763,High
18,10,19,1,0.5335,Medium
12,9,2,2,0.5658,Medium
16,4,12,3,0.3493,Low
25,8,0,1,0.4904,Medium
7,1,22,2,0.4807,Medium
6,5,22,6,0.975,High
5,9,1,5,0.8361,High
3,3,4,1,0.4083,Medium
12,11,7,6,0.4585,Medium
15,6,16,3,0.6863,High
10,11,22,1,0.926,High
20,10,22,6,0.6161,Medium
19,6,1,2,0.5387,Medium
16,11,7,3,0.3587,Low
11,6,10,4,0.3771,Low
8,4,18,5,0.5862,Medium
3,7,12,6,0.6079,Medium
23,3,6,6,0.338,Low
7,6,18,5,0.6027,Medium
23,10,5,2,0.392,Low
7,5,12,1,0.2534,Low
14,3,16,3,0.3405,Low
2,2,19,4,0.7691,High
10,12,22,1,0.7994,High
19,1,22,0,0.4082,Medium
9,8,3,1,0.9302,High
16,1,10,4,0.2615,Low
19,5,16,2,0.3479,Low
18,5,0,4,0.538,Medium
9,1,10,1,0.6354,Medium
16,9,18,2,0.3991,Low
13,5,12,3,0.5101,Medium
10,9,22,2,0.9269,High
25,11,13,1,0.3605,Low
20,6,15,1,0.3893,Low
14,7,13,2,0.4217,Medium
12,7,6,2,0.3235,Low
25,2,4,5,0.2323,Low
19,5,8,6,0.4229,Medium
7,2,10,2,0.1885,Low
23,4,17,1,0.4202,Medium
15,12,8,0,0.763,High
16,3,8,5,0.3418,Low
8,12,5,6,0.5427,Medium
10,11,19,2,0.8665,High
4,6,20,2,0.5835,Medium
19,11,5,6,0.3434,Low
19,5,3,3,0.3802,Low
21,1,10,6,0.3935,Low
15,2,1,6,0.8056,High
14,7,11,4,0.3524,Low
1,9,7,6,0.751,High
16,1,12,3,0.0974,Low
10,4,3,5,0.8149,High
19,11,8,0,0.4331,Medium
22,3,15,2,0.2455,Low
3,12,1,1,0.6186,Medium
5,12,18,0,0.5535,Medium
9,11,4,1,0.7265,High
18,5,19,2,0.4781,Medium
11,5,13,5,0.339,Low
16,12,10,4,0.2846,Low
2,10,2,1,1.0,High
12,10,19,5,0.624,Medium
22,11,8,3,0.4681,Medium
6,2,4,3,0.4726,Medium
11,5,22,6,0.4218,Medium
8,4,23,1,0.6226,Medium
12,1,17,3,0.4061,Medium
2,12,8,0,0.6665,High
9,1,8,0,0.6757,High
15,1,1,2,0.7248,High
2,8,5,6,0.7236,High
1,3,3,1,0.8954,High
10,9,0,0,0.8822,High
2,10,12,2,0.7131,High
12,2,4,0,0.1903,Low
23,9,13,3,0.263,Low
8,11,13,1,0.5999,Medium
5,9,18,2,0.5635,Medium
22,4,0,3,0.5851,Medium
1,4,17,0,0.7677,High
15,4,6,4,0.6858,High
6,12,16,4,0.6138,Medium
12,1,2,5,0.5075,Medium
8,5,0,4,0.6634,High
13,6,0,2,0.799,High
19,4,11,1,0.1806,Low
1,8,12,5,0.745,High
11,3,23,3,0.5598,Medium
20,11,21,6,0.5625,Medium
1,9,3,2,0.823,High
8,7,14,5,0.5633,Medium
5,8,23,4,0.7941,High
17,7,22,1,0.6705,High
8,9,16,6,0.4247,Medium
25,2,20,1,0.4516,Medium
10,4,5,2,0.5777,Medium
2,2,21,5,0.7631,High
9,8,12,6,0.7082,High
24,2,6,1,0.2141,Low
23,8,4,4,0.32,Low
3,6,10,2,0.4661,Medium
18,7,4,3,0.3746,Low
7,11,0,2,0.5916,Medium
15,6,12,0,0.6603,High
21,12,11,0,0.3907,Low
22,9,13,4,0.306,Low
20,4,20,3,0.3428,Low
18,1,0,0,0.4687,Medium
25,9,12,4,0.204,Low
3,10,17,3,0.6829,High
23,8,16,0,0.4316,Medium
14,1,7,3,0.1993,Low
24,10,7,1,0.3476,Low
2,6,7,5,0.9377,High
14,10,16,5,0.4675,Medium
22,12,19,2,0.402,Medium
11,12,11,2,0.2653,Low
16,4,10,4,0.1994,Low
8,11,16,3,0.3742,Low
7,2,19,6,0.4176,Medium
11,3,6,3,0.241,Low
3,12,9,1,0.5088,Medium
17,12,22,3,0.5208,Medium
14,9,16,5,0.3192,Low
6,5,17,6,0.8165,High
8,7,21,3,0.549,Medium
22,2,21,3,0.2821,Low
5,8,16,1,0.4343,Medium
8,3,19,5,0.6848,High
2,1,10,6,0.6551,High
15,8,8,1,0.7635,High
12,11,7,1,0.5037,Medium
17,11,10,3,0.3649,Low
1,9,3,3,0.874,High
15,8,18,2,0.8195,High
14,1,7,3,0.2342,Low
20,12,8,6,0.3382,Low
22,7,13,6,0.4918,Medium
16,7,13,4,0.3788,Low
9,4,0,1,0.8598,High
1,12,14,3,0.6075,Medium
17,8,7,5,0.5463,Medium
13,5,4,1,0.462,Medium
21,12,18,6,0.5933,Medium
21,4,15,1,0.3329,Low
5,5,9,4,0.4564,Medium
10,11,10,1,0.7159,High
6,2,4,1,0.4471,Medium
24,4,9,1,0.2152,Low
19,10,15,2,0.3258,Low
25,8,3,2,0.6455,Medium
13,7,0,3,0.763,High
1,12,23,2,0.876,High
20,8,14,3,0.3299,Low
25,7,6,2,0.4057,Medium
15,7,19,6,0.9623,High
14,11,3,4,0.7115,High
8,7,13,1,0.4917,Medium
10,2,4,4,0.6212,Medium
9,3,16,3,0.5972,Medium
17,1,3,3,0.4297,Medium
9,2,4,6,0.6397,Medium
3,10,23,0,0.7377,High
11,6,16,5,0.3921,Low
12,2,10,2,0.233,Low
10,1,3,6,0.8365,High
25,8,14,5,0.5444,Medium
17,9,6,2,0.2956,Low
17,7,4,4,0.3827,Low
25,3,13,5,0.3631,Low
11,1,0,6,0.6327,Medium
22,4,6,2,0.3559,Low
4,10,12,5,0.6339,Medium
7,11,12,6,0.5097,Medium
21,3,0,4,0.669,High
14,11,14,2,0.416,Medium
7,3,1,1,0.5389,Medium
24,2,7,6,0.3926,Low
8,11,7,3,0.5576,Medium
1,10,23,2,0.9629,High
24,3,13,6,0.2784,Low
22,11,21,1,0.4173,Medium
4,5,22,6,0.8004,High
12,4,3,6,0.6024,Medium
24,1,12,0,0.2265,Low
3,1,4,0,0.3682,Low
13,1,13,5,0.3733,Low
20,12,17,4,0.3514,Low
6,10,9,5,0.8851,High
11,9,3,1,0.5495,Medium
23,9,6,6,0.4171,Medium
4,9,3,0,0.6064,Medium
20,10,21,4,0.5045,Medium
16,4,10,4,0.3176,Low
7,4,10,0,0.3779,Low
22,10,11,0,0.3775,Low
11,7,23,2,0.6234,Medium
24,3,14,3,0.229,Low
1,10,4,0,0.6894,High
7,3,7,6,0.3113,Low
12,4,19,2,0.3817,Low
7,11,10,4,0.4118,Medium
23,6,17,5,0.5243,Medium
7,1,17,5,0.4225,Medium
10,11,22,4,0.9202,High
16,3,5,1,0.2878,Low
8,12,17,1,0.5339,Medium
9,5,18,2,0.7918,High
9,11,13,0,0.724,High
2,4,10,4,0.5811,Medium
13,8,6,6,0.4981,Medium
13,9,13,4,0.3593,Low
23,8,15,6,0.4614,Medium
23,11,21,5,0.4715,Medium
4,11,12,1,0.4503,Medium
25,9,5,2,0.2707,Low
24,8,22,0,0.6749,High
12,10,14,0,0.3942,Low
17,1,4,1,0.1724,Low
2,7,16,0,0.6651,High
13,9,4,2,0.4117,Medium
18,1,17,4,0.4365,Medium
15,10,9,6,0.7483,High
8,1,18,1,0.4288,Medium
15,10,1,0,0.9452,High
1,2,20,5,0.7958,High
20,5,15,5,0.2848,Low
10,12,20,4,0.8176,High
12,8,12,3,0.3981,Low
5,8,20,1,0.6471,Medium
9,10,21,1,0.8232,High
23,4,18,3,0.4301,Medium
8,7,23,2,0.6224,Medium
16,7,2,1,0.4871,Medium
14,9,17,4,0.4446,Medium
25,9,13,4,0.1808,Low
13,3,21,1,0.525,Medium
23,11,6,2,0.3626,Low
21,8,11,3,0.5532,Medium
13,5,16,1,0.4431,Medium
5,5,11,1,0.4147,Medium
16,8,2,5,0.6689,High
11,6,22,6,0.6451,Medium
22,10,7,2,0.4005,Medium
5,10,17,2,0.643,Medium
13,1,20,4,0.5526,Medium
11,4,20,5,0.4889,Medium
25,9,14,2,0.2473,Low
19,5,18,4,0.4713,Medium
3,4,12,1,0.4296,Medium
15,11,15,5,0.7931,High
7,10,14,2,0.2628,Low
7,1,10,6,0.2116,Low
6,9,12,6,0.695,High
3,8,20,6,0.7735,High
13,3,13,2,0.462,Medium
7,9,12,3,0.2271,Low
5,1,7,4,0.4213,Medium
23,4,10,4,0.337,Low
18,5,13,5,0.3152,Low
22,4,18,2,0.3871,Low
8,4,14,1,0.4615,Medium
17,9,21,2,0.4988,Medium
20,5,9,4,0.3294,Low
1,1,3,5,0.7923,High
14,7,6,3,0.3806,Low
17,6,23,4,0.63,Medium
10,9,5,5,0.7171,High
12,4,0,6,0.5558,Medium
16,10,21,1,0.6316,Medium
14,6,19,1,0.597,Medium
16,10,10,3,0.3421,Low
8,7,18,1,0.5862,Medium
23,4,2,1,0.4859,Medium
10,12,2,0,0.9109,High
17,9,0,4,0.5489,Medium
18,1,9,6,0.3563,Low
20,1,13,1,0.2211,Low
16,3,16,0,0.3231,Low
17,9,1,6,0.5481,Medium
16,5,13,4,0.2223,Low
19,1,4,0,0.2134,Low
24,12,6,0,0.2065,Low
24,5,14,2,0.1773,Low
8,6,20,5,0.7312,High
6,4,18,3,0.7304,High
6,7,20,0,0.8567,High
21,11,5,1,0.5147,Medium
9,3,19,3,0.7235,High
4,5,3,5,0.7418,High
12,6,13,0,0.3163,Low
12,7,0,5,0.5801,Medium
23,10,22,1,0.6282,Medium
17,2,7,1,0.3235,Low
15,5,19,6,0.8544,High
9,7,5,6,0.8535,High
7,7,14,0,0.3872,Low
10,12,5,0,0.5809,Medium
16,3,14,0,0.273,Low
12,8,0,4,0.7132,High
25,1,9,0,0.2104,Low
7,4,3,3,0.5251,Medium
18,3,13,2,0.3301,Low
15,4,21,0,0.8213,High
6,11,11,0,0.6625,High
12,9,19,4,0.5372,Medium
11,11,15,3,0.3525,Low
20,12,19,6,0.482,Medium
3,8,6,1,0.4605,Medium
2,11,6,0,0.7804,High
6,4,23,6,0.8686,High
24,8,6,1,0.3304,Low
22,1,5,2,0.2731,Low
25,12,18,5,0.5282,Medium
5,8,14,6,0.6712,High
18,10,22,0,0.67,High
16,2,21,5,0.3636,Low
8,6,9,2,0.5803,Medium
25,6,11,1,0.2793,Low
20,3,7,0,0.3579,Low
22,5,3,0,0.4573,Medium
11,2,6,3,0.201,Low
10,11,22,6,0.9455,High
24,8,2,3,0.5714,Medium
25,8,7,0,0.3718,Low
12,5,12,2,0.2625,Low
21,7,12,4,0.5534,Medium
6,8,15,2,0.6575,High
20,11,15,3,0.2827,Low
5,4,1,3,0.6784,High
23,2,2,4,0.4963,Medium
9,5,14,3,0.6077,Medium
16,7,16,3,0.3862,Low
22,12,1,5,0.5836,Medium
14,4,16,1,0.259,Low
22,4,5,4,0.3147,Low
8,4,10,3,0.4903,Medium
20,9,4,5,0.3763,Low
19,9,5,5,0.3475,Low
14,11,2,2,0.5205,Medium
7,10,22,3,0.6005,Medium
5,8,3,0,0.6923,High
18,11,14,4,0.37,Low
2,8,16,6,0.7429,High
11,7,2,5,0.7635,High
22,1,15,5,0.3434,Low
8,8,20,2,0.6863,High
1,11,22,6,0.9351,High
22,11,15,5,0.3702,Low
12,4,20,0,0.4854,Medium
2,1,0,6,0.8612,High
18,1,20,0,0.3817,Low
7,3,10,1,0.1938,Low
17,3,0,1,0.4264,Medium
22,10,6,2,0.3326,Low
23,1,8,5,0.3563,Low
14,8,12,4,0.2631,Low
24,4,21,2,0.4618,Medium
7,12,19,6,0.5214,Medium
22,4,5,5,0.4062,Medium
25,6,16,0,0.312,Low
3,9,19,1,0.6524,High
6,9,5,0,0.5699,Medium
20,12,1,0,0.4044,Medium
2,8,2,6,1.0,High
17,1,19,1,0.3996,Low
12,12,5,5,0.3005,Low
12,10,18,6,0.5853,Medium
17,10,0,1,0.6631,High
10,2,21,4,0.7851,High
3,3,23,0,0.7175,High
20,11,15,1,0.3364,Low
18,5,7,2,0.3081,Low
13,5,15,0,0.3979,Low
12,10,3,5,0.6733,High
17,8,21,5,0.6159,Medium
4,2,14,4,0.2942,Low
23,2,13,4,0.165,Low
10,8,0,5,1.0,High
11,1,21,0,0.3408,Low
6,9,0,3,0.8806,High
6,2,3,6,0.9084,High
9,12,14,0,0.6112,Medium
15,5,5,2,0.5697,Medium
2,3,3,6,1.0,High
4,5,19,4,0.5937,Medium
5,12,3,6,0.7971,High
17,8,9,1,0.3868,Low
8,8,6,5,0.5885,Medium
8,6,5,1,0.5728,Medium
22,9,22,5,0.6097,Medium
12,7,3,5,0.6728,High
21,2,12,0,0.2885,Low
8,1,10,1,0.229,Low
19,8,20,0,0.6097,Medium
3,1,8,3,0.4013,Medium
18,8,7,1,0.5466,Medium
21,12,9,5,0.5752,Medium
19,9,1,2,0.4834,Medium
19,1,23,6,0.5102,Medium
15,7,2,5,1.0,High
6,5,1,2,0.9554,High
16,8,17,6,0.6262,Medium
8,4,10,4,0.3291,Low
16,2,19,1,0.258,Low
18,7,0,0,0.6776,High
20,7,4,3,0.3864,Low
16,8,6,6,0.5139,Medium
11,9,17,2,0.4157,Medium
7,6,4,4,0.2933,Low
17,3,19,0,0.4394,Medium
17,5,5,2,0.2977,Low
12,3,0,6,0.5439,Medium
13,10,16,1,0.4252,Medium
10,9,17,6,0.8799,High
7,5,3,4,0.4687,Medium
14,7,16,4,0.4708,Medium
23,10,12,0,0.4485,Medium
1,7,4,4,0.7466,High
17,7,21,2,0.601,Medium
4,12,3,0,0.705,High
21,10,22,2,0.7369,High
5,4,4,2,0.5169,Medium
20,4,8,5,0.4225,Medium
24,3,12,1,0.2458,Low
23,4,8,4,0.2596,Low
25,9,3,1,0.4792,Medium
7,5,13,5,0.409,Medium
10,6,21,3,0.8459,High
17,4,1,3,0.6269,Medium
7,1,17,6,0.4589,Medium
1,7,18,6,0.9682,High
7,7,1,1,0.5615,Medium
24,6,8,3,0.3728,Low
11,4,13,3,0.1879,Low
9,10,11,5,0.7245,High
12,8,19,1,0.4657,Medium
3,12,4,5,0.4784,Medium
4,8,1,1,0.8689,High
4,1,7,1,0.3673,Low
25,9,23,3,0.5995,Medium
13,8,22,4,0.6841,High
23,2,6,5,0.2372,Low
19,9,6,2,0.2829,Low
10,4,7,2,0.7298,High
5,10,19,4,0.651,High
7,12,21,1,0.4089,Medium
24,6,23,0,0.6459,Medium
16,2,23,0,0.4617,Medium
1,10,3,1,0.863,High
12,4,0,2,0.6138,Medium
2,2,1,0,0.8214,High
7,12,3,4,0.5322,Medium
11,9,8,0,0.3323,Low
13,9,2,4,0.5855,Medium
2,5,20,0,0.681,High
7,3,0,2,0.6295,Medium
15,3,4,1,0.6007,Medium
25,1,10,6,0.2661,Low
11,8,10,6,0.4017,Medium
2,3,10,5,0.7042,High
7,12,14,0,0.2317,Low
4,4,0,5,0.7167,High
11,2,10,0,0.1895,Low
2,8,5,5,0.797,High
16,3,16,6,0.3775,Low
7,12,17,5,0.4889,Medium
13,11,10,6,0.4616,Medium
5,2,8,5,0.5284,Medium
17,1,11,1,0.239,Low
21,10,12,4,0.4177,Medium
12,2,2,5,0.5148,Medium
19,2,3,0,0.4319,Medium
7,4,20,3,0.488,Medium
6,11,15,6,0.8091,High
8,1,22,4,0.5291,Medium
13,1,3,4,0.7228,High
5,6,11,4,0.4998,Medium
2,5,9,5,0.784,High
9,1,12,5,0.6109,Medium
11,6,5,6,0.3694,Low
24,8,7,3,0.3699,Low
6,5,10,3,0.5102,Medium
7,3,16,2,0.1538,Low
25,3,5,6,0.3243,Low
7,11,14,2,0.3102,Low
19,12,12,2,0.2527,Low
6,2,8,6,0.6149,Medium
11,9,14,1,0.4071,Medium
11,9,18,5,0.5106,Medium
7,7,18,3,0.503,Medium
2,1,9,1,0.6799,High
19,1,4,1,0.3307,Low
4,4,14,3,0.3428,Low
6,12,2,3,0.8916,High
17,2,15,2,0.1761,Low
25,3,4,0,0.3049,Low
5,2,4,5,0.4309,Medium
7,1,23,1,0.3994,Low
9,3,1,3,0.93,High
25,7,7,3,0.3961,Low
1,10,16,6,0.7914,High
1,9,20,6,0.8912,High
19,10,2,5,0.7207,High
6,9,20,6,0.8081,High
18,8,0,2,0.5824,Medium
10,6,21,6,0.9004,High
11,1,9,2,0.1826,Low
1,8,15,6,0.7628,High
1,8,12,1,0.728,High
13,12,5,6,0.4307,Medium
5,9,12,0,0.4257,Medium
20,10,11,0,0.4073,Medium
1,11,22,6,1.0,High
20,12,4,4,0.1664,Low
3,6,6,4,0.3445,Low
18,3,1,2,0.5123,Medium
9,6,17,5,0.8946,High
14,8,9,5,0.3951,Low
17,7,23,1,0.5836,Medium
23,8,21,6,0.531,Medium
14,3,20,4,0.3697,Low
4,8,18,1,0.6021,Medium
5,5,19,0,0.571,Medium
21,7,23,2,0.6155,Medium
17,4,9,1,0.3101,Low
22,3,6,5,0.5116,Medium
25,6,12,0,0.3994,Low
2,9,12,0,0.5942,Medium
23,4,10,1,0.3347,Low
22,12,18,1,0.506,Medium
5,9,21,4,0.5875,Medium
4,3,6,4,0.3491,Low
4,6,1,6,0.7714,High
6,12,11,3,0.5664,Medium
20,5,12,5,0.244,Low
21,9,3,0,0.7314,High
13,6,0,3,0.876,High
22,2,19,4,0.3525,Low
5,4,14,0,0.3783,Low
23,5,17,1,0.4613,Medium
25,11,22,0,0.6698,High
23,11,14,1,0.3082,Low
7,9,16,2,0.2858,Low
20,1,21,1,0.2467,Low
1,12,2,0,0.8777,High
14,9,7,6,0.3299,Low
24,10,23,4,0.618,Medium
4,1,22,1,0.5672,Medium
17,1,6,6,0.2708,Low
21,4,0,3,0.7994,High
14,6,18,2,0.5061,Medium
16,2,23,5,0.5487,Medium
14,1,17,2,0.3399,Low
16,12,0,1,0.4145,Medium
24,4,10,3,0.2318,Low
20,8,0,3,0.5674,Medium
8,6,14,6,0.6048,Medium
24,12,7,0,0.3431,Low
3,5,12,6,0.5091,Medium
25,1,2,5,0.5738,Medium
19,3,6,2,0.2007,Low
1,7,12,1,0.823,High
2,10,17,3,0.7492,High
15,3,23,1,0.7905,High
22,5,11,0,0.2924,Low
10,6,2,1,0.8847,High
18,9,9,1,0.323,Low
22,11,4,5,0.3765,Low
14,3,22,3,0.5504,Medium
17,6,8,5,0.4677,Medium
13,11,0,3,0.7154,High
1,2,4,3,0.5485,Medium
5,9,0,4,0.7915,High
13,12,1,0,0.6649,High
25,9,9,6,0.3064,Low
14,7,3,6,0.561,Medium
24,11,2,3,0.5594,Medium
3,9,9,4,0.4847,Medium
15,4,14,0,0.7073,High
19,10,20,6,0.6234,Medium
17,1,5,5,0.2232,Low
3,1,0,0,0.5199,Medium
16,2,9,2,0.2376,Low
14,10,1,6,0.6633,High
12,11,23,3,0.5758,Medium
12,3,8,2,0.3584,Low
11,2,16,4,0.1434,Low
17,4,15,6,0.3289,Low
8,8,1,4,0.7672,High
17,3,15,4,0.176,Low
21,4,2,6,0.7592,High
25,2,18,5,0.4777,Medium
23,1,12,1,0.2461,Low
20,8,5,0,0.3484,Low
11,7,6,1,0.2838,Low
25,10,11,5,0.3678,Low
25,2,13,3,0.1874,Low
2,8,21,6,0.9291,High
10,10,14,5,0.7104,High
10,3,1,2,0.8905,High
11,7,21,1,0.4622,Medium
6,1,9,4,0.5798,Medium
4,12,16,5,0.5294,Medium
24,3,22,2,0.372,Low
12,9,14,6,0.3374,Low
11,4,5,5,0.326,Low
23,1,23,4,0.3863,Low
23,11,1,0,0.7123,High
25,6,0,4,0.5365,Medium
13,1,8,4,0.447,Medium
5,10,15,0,0.5413,Medium
6,1,15,3,0.5726,Medium
1,2,13,3,0.4834,Medium
6,3,22,1,0.9139,High
18,2,0,0,0.407,Medium
22,8,1,3,0.4659,Medium
9,6,8,5,0.8143,High
24,1,15,0,0.2078,Low
25,6,4,2,0.3951,Low
15,1,17,6,0.7259,High
8,9,15,6,0.5997,Medium
19,3,4,3,0.2682,Low
24,12,16,4,0.3264,Low
16,1,9,1,0.2919,Low
6,1,11,6,0.649,Medium
6,2,4,5,0.6914,High
22,6,22,3,0.5854,Medium
3,1,7,5,0.5042,Medium
10,7,10,3,0.6953,High
1,11,2,2,0.9448,High
14,12,15,0,0.231,Low
4,4,19,6,0.6357,Medium
12,7,10,6,0.5017,Medium
6,4,17,5,0.8803,High
11,11,16,4,0.3757,Low
12,4,9,6,0.3537,Low
10,4,23,5,0.9026,High
18,10,22,4,0.5548,Medium
7,12,10,2,0.3479,Low
7,10,14,0,0.4016,Medium
11,8,7,1,0.3079,Low
4,2,4,0,0.4079,Medium
20,8,4,4,0.4228,Medium
1,10,0,6,1.0,High
13,11,8,1,0.6461,Medium
18,1,13,4,0.1372,Low
9,7,2,5,1.0,High
24,7,16,3,0.4336,Medium
24,6,12,4,0.3895,Low
9,4,19,5,0.9533,High
23,5,19,2,0.3816,Low
9,1,23,3,0.7427,High
10,2,9,0,0.5611,Medium
2,10,9,3,0.7337,High
6,7,4,5,0.9019,High
15,2,14,0,0.5114,Medium
3,8,9,0,0.5348,Medium
11,7,4,2,0.2793,Low
6,10,0,6,0.983,High
3,8,12,1,0.5093,Medium
24,4,3,4,0.3867,Low
11,1,23,3,0.4382,Medium
15,7,7,2,0.6962,High
13,1,19,2,0.5134,Medium
20,7,2,3,0.6684,High
10,9,19,5,0.8137,High
6,5,21,1,0.7784,High
15,2,2,4,0.7704,High
25,11,15,2,0.4077,Medium
18,1,11,0,0.1849,Low
18,8,12,1,0.4127,Medium
7,4,18,4,0.4332,Medium
15,8,8,3,0.845,High
18,2,15,2,0.2305,Low
18,3,18,4,0.4249,Medium
20,3,0,2,0.5768,Medium
9,4,15,4,0.7233,High
24,9,18,0,0.5149,Medium
2,9,23,4,1.0,High
8,5,8,5,0.5343,Medium
20,7,12,0,0.3668,Low
2,9,3,3,0.8518,High
11,1,5,1,0.1463,Low
7,2,7,4,0.2853,Low
6,6,6,5,0.6219,Medium
10,3,7,2,0.6938,High
5,11,10,3,0.5827,Medium
11,12,2,4,0.5696,Medium
1,11,3,6,1.0,High
2,7,0,6,0.91,High
24,5,19,3,0.5197,Medium
1,10,4,3,0.6772,High
19,8,1,3,0.6335,Medium
2,1,13,3,0.5238,Medium
21,9,12,2,0.4094,Medium
20,11,16,0,0.3977,Low
23,10,12,0,0.4239,Medium
21,6,20,5,0.7059,High
24,12,23,2,0.5302,Medium
4,5,7,3,0.4022,Medium
12,8,10,2,0.4138,Medium
22,12,8,3,0.1924,Low
20,12,23,5,0.5049,Medium
18,4,12,3,0.1299,Low
1,12,12,1,0.6015,Medium
1,9,6,0,0.6125,Medium
24,5,10,2,0.2926,Low
14,1,16,4,0.2641,Low
4,8,9,5,0.5996,Medium
5,9,0,6,0.7683,High
11,5,7,5,0.3031,Low
24,5,14,3,0.3054,Low
23,6,4,4,0.3273,Low
13,9,21,1,0.5496,Medium
16,5,19,5,0.4874,Medium
24,2,3,0,0.4055,Medium
13,3,12,3,0.4086,Medium
24,11,15,4,0.4272,Medium
22,10,7,1,0.4704,Medium
2,3,13,0,0.6321,Medium
16,9,11,4,0.2546,Low
6,8,19,2,0.8074,High
14,6,6,6,0.3603,Low
1,5,23,6,1.0,High
17,10,22,3,0.5996,Medium
11,2,4,6,0.1559,Low
19,9,14,1,0.1912,Low
3,10,9,4,0.4886,Medium
11,8,0,6,0.4925,Medium
5,5,5,2,0.3757,Low
17,6,7,6,0.3346,Low
22,9,10,4,0.286,Low
7,1,5,1,0.1994,Low
10,4,7,3,0.7293,High
11,5,21,0,0.4418,Medium
3,9,17,5,0.7974,High
20,12,21,0,0.3989,Low
10,5,13,6,0.655,High
10,5,8,0,0.735,High
14,12,12,1,0.2852,Low
12,12,17,5,0.4918,Medium
15,3,13,5,0.7499,High
10,8,2,0,1.0,High
10,7,22,3,0.8411,High
19,8,16,1,0.3412,Low
1,4,10,4,0.6468,Medium
24,8,12,5,0.2639,Low
10,10,19,5,0.872,High
2,4,19,5,0.8706,High
17,1,9,4,0.309,Low
24,4,4,1,0.2484,Low
7,5,6,3,0.2045,Low
7,10,20,6,0.5761,Medium
20,8,9,1,0.3919,Low
9,12,5,1,0.5831,Medium
22,10,17,4,0.4132,Medium
2,6,5,1,0.6711,High
14,11,12,3,0.2552,Low
17,10,21,0,0.4551,Medium
1,5,16,6,0.6853,High
9,3,21,6,0.8,High
20,4,22,3,0.6341,Medium
21,6,6,3,0.4909,Medium
19,6,2,4,0.6542,High
4,6,23,5,0.8268,High
8,2,6,0,0.2782,Low
13,11,19,2,0.6116,Medium
4,12,19,1,0.5598,Medium
9,8,6,0,0.6609,High
9,8,1,4,0.9485,High
22,6,4,5,0.3806,Low
18,4,12,1,0.2754,Low
12,2,5,4,0.2577,Low
10,6,3,1,0.9993,High
11,6,0,4,0.6202,Medium
7,10,10,4,0.3592,Low
9,3,0,4,0.8045,High
6,2,18,1,0.7663,High
19,4,8,2,0.212,Low
16,8,17,5,0.5495,Medium
15,5,13,0,0.5659,Medium
7,3,20,1,0.4563,Medium
16,12,6,2,0.3733,Low
5,5,1,6,0.7188,High
16,9,16,0,0.368,Low
1,11,6,1,0.6698,High
19,8,20,6,0.5331,Medium
5,12,6,0,0.3795,Low
7,10,0,2,0.6733,High
19,7,21,6,0.6405,Medium
22,4,21,4,0.4004,Medium
5,2,22,5,0.7069,High
17,12,7,3,0.287,Low
22,9,13,0,0.335,Low
8,3,12,1,0.3907,Low
1,6,9,3,0.8054,High
2,7,11,0,0.747,High
15,12,12,0,0.6478,Medium
